名稱,說明,緯度,經度,行政區,地址,電話,店號,標籤
7-11 原義（BEAMS）,台中市西屯區忠義街80號｜(04)23173966｜24H｜BEAMS DESIGN,24.161487,120.659515,西屯區,台中市西屯區忠義街80號,(04)23173966,265421,BEAMS DESIGN
7-11 墩十九（BEAMS）,台中市西屯區大墩19街186號｜(04)23102205｜24H｜BEAMS DESIGN,24.159857,120.649828,西屯區,台中市西屯區大墩19街186號,(04)23102205,265270,BEAMS DESIGN
7-11 夏督（BEAMS）,台中市西屯區寧夏路170號｜(04)23168687｜24H｜BEAMS DESIGN,24.167314,120.661228,西屯區,台中市西屯區寧夏路170號,(04)23168687,229377,BEAMS DESIGN
7-11 宇順（BEAMS）,台中市西屯區福安路51號｜(04)24631947｜24H｜BEAMS DESIGN,24.181277,120.622514,西屯區,台中市西屯區福安路51號,(04)24631947,233055,BEAMS DESIGN
7-11 寧夏（BEAMS）,台中市西屯區寧夏路105號｜(04)23178934｜24H｜BEAMS DESIGN,24.166544,120.661342,西屯區,台中市西屯區寧夏路105號,(04)23178934,264831,BEAMS DESIGN
7-11 寶慶（BEAMS）,台中市西屯區逢甲里西屯路二段256巷8、10號1樓｜(04)24529273｜24H｜BEAMS DESIGN,24.170958,120.647366,西屯區,台中市西屯區逢甲里西屯路二段256巷8、10號1樓,(04)24529273,112190,BEAMS DESIGN
7-11 小滿（BEAMS）,台中市西屯區中工三路220之20號｜(04)23588272｜24H｜BEAMS DESIGN,24.17487,120.617211,西屯區,台中市西屯區中工三路220之20號,(04)23588272,233734,BEAMS DESIGN
7-11 尚仁（BEAMS）,台中市西屯區上仁街139號｜(04)24527497｜24H｜BEAMS DESIGN,24.171687,120.6419,西屯區,台中市西屯區上仁街139號,(04)24527497,120168,BEAMS DESIGN
7-11 廣環（BEAMS）,台中市西屯區環中路二段698號｜(04)24524421｜24H｜BEAMS DESIGN,24.195164,120.644256,西屯區,台中市西屯區環中路二段698號,(04)24524421,199289,BEAMS DESIGN
7-11 成科（BEAMS）,台中市西屯區成都路221、223號｜(04)23162846｜24H｜BEAMS DESIGN,24.169233,120.664737,西屯區,台中市西屯區成都路221、223號,(04)23162846,230779,BEAMS DESIGN
