名稱,說明,緯度,經度,地址,電話,店號
7-11 原義（BEAMS DESIGN）,24H｜(04)23173966,24.161487,120.659515,台中市西屯區忠義街80號,(04)23173966,265421
7-11 墩十九（BEAMS DESIGN）,24H｜(04)23102205,24.159857,120.649828,台中市西屯區大墩19街186號,(04)23102205,265270
7-11 夏督（BEAMS DESIGN）,24H｜(04)23168687,24.167314,120.661228,台中市西屯區寧夏路170號,(04)23168687,229377
7-11 宇順（BEAMS DESIGN）,24H｜(04)24631947,24.181277,120.622514,台中市西屯區福安路51號,(04)24631947,233055
7-11 寧夏（BEAMS DESIGN）,24H｜(04)23178934,24.166544,120.661342,台中市西屯區寧夏路105號,(04)23178934,264831
7-11 寶慶（BEAMS DESIGN）,24H｜(04)24529273,24.170958,120.647366,台中市西屯區逢甲里西屯路二段256巷8、10號1樓,(04)24529273,112190
7-11 小滿（BEAMS DESIGN）,24H｜(04)23588272,24.17487,120.617211,台中市西屯區中工三路220之20號,(04)23588272,233734
7-11 尚仁（BEAMS DESIGN）,24H｜(04)24527497,24.171687,120.6419,台中市西屯區上仁街139號,(04)24527497,120168
7-11 廣環（BEAMS DESIGN）,24H｜(04)24524421,24.195164,120.644256,台中市西屯區環中路二段698號,(04)24524421,199289
7-11 成科（BEAMS DESIGN）,24H｜(04)23162846,24.169233,120.664737,台中市西屯區成都路221、223號,(04)23162846,230779
7-11 望景（BEAMS DESIGN）,06:00 ~ 23:59｜(04)24638230,24.205388,120.603518,台中市西屯區科園三路1號1樓之1,(04)24638230,229193
7-11 東儷（BEAMS DESIGN）,07:00 ~ 23:00｜(04)23590457,24.177949,120.601251,台中市西屯區臺灣大道四段1727號,(04)23590457,261773
7-11 正勤（BEAMS DESIGN）,24H｜(04)24524657,24.186368,120.640091,台中市西屯區黎明路三段539-3號.539-5號,(04)24524657,273743
7-11 水湳（BEAMS DESIGN）,24H｜(04)22957458,24.175706,120.664869,台中市西屯區中清西二街139-1號,(04)22957458,269168
7-11 港強（BEAMS DESIGN）,24H｜(04)24632861,24.181942,120.624704,台中市西屯區福科路295號一樓,(04)24632861,113001
7-11 漢口（BEAMS DESIGN）,24H｜(04)23168186,24.160151,120.656511,台中市西屯區漢口路一段22.24號1樓,(04)23168186,231934
7-11 甘肅（BEAMS DESIGN）,24H｜(04)23152941,24.170386,120.656089,台中市西屯區甘肅路二段22號,(04)23152941,128553
7-11 百惠（BEAMS DESIGN）,24H｜(04)23120872,24.164784,120.646281,台中市西屯區台灣大道三段182號1.2樓,(04)23120872,262639
7-11 福星（BEAMS DESIGN）,24H｜(04)24519553,24.174995,120.646446,台中市西屯區福星路580號,(04)24519553,253299
7-11 福雅（BEAMS DESIGN）,24H｜(04)24639859,24.194005,120.624243,台中市西屯區福雅路338號,(04)24639859,249809
7-11 秋紅谷（BEAMS DESIGN）,24H｜(04)22542731,24.167246,120.637843,台中市西屯區朝富路30號32號1樓,(04)22542731,281593
7-11 科雅（BEAMS DESIGN）,24H｜(04)24636793,24.200743,120.626947,台中市西屯區福雅路571-1號,(04)24636793,249795
7-11 航發（BEAMS DESIGN）,24H｜(04)24526841,24.176215,120.650953,台中市西屯區河南路二段242號,(04)24526841,274274
7-11 華美（BEAMS DESIGN）,24H｜(04)23143424,24.163806,120.661328,台中市西屯區西屯路二段19號19之1號21號,(04)23143424,275417
7-11 裕元（BEAMS DESIGN）,24H｜(04)24638940,24.180509,120.625112,台中市西屯區安和路168號,(04)24638940,236630
7-11 豐慶（BEAMS DESIGN）,24H｜(04)23164548,24.168242,120.657497,台中市西屯區甘肅路一段196號及198號1樓,(04)23164548,993498
7-11 逢善（BEAMS DESIGN）,24H｜(04)24523490,24.178396,120.643123,台中市西屯區逢甲路132、134號,(04)24523490,258917
7-11 逢廣（BEAMS DESIGN）,24H｜(04)24528846,24.183628,120.646367,台中市西屯區文華路170號172號1樓,(04)24528846,128690
7-11 逢德（BEAMS DESIGN）,24H｜(04)24518827,24.173525,120.640902,台中市西屯區青海路二段321號323號,(04)24518827,236674
7-11 逢盛（BEAMS DESIGN）,24H｜(04)27064895,24.180725,120.644902,台中市西屯區福星路330號華夏巷東一弄22號1樓,(04)27064895,957931
7-11 逢科（BEAMS DESIGN）,24H｜(04)24520126,24.176258,120.635916,台中市西屯區青海路二段556號,(04)24520126,274838
7-11 金西屯（BEAMS DESIGN）,24H｜(04)24521479,24.18337,120.630119,台中市西屯區西屯路三段79-33號,(04)24521479,251156
7-11 順和（BEAMS DESIGN）,24H｜(04)23502995,24.176417,120.588055,台中市西屯區工業區三十八路135號,(04)23502995,232915
